=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.23 21:19:08 =~=~=~=~=~=~=~=~=~=~=~=
BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1957900 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958000 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958100 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958200 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958300 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958400 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958500 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958600 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958700 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958800 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1958900 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1959000 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959100 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959200 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959300 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959400 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959500 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959600 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959700 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959800 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1959900 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1960000 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1960100 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1960200 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1960300 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1960400 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1960500 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1960600 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1960700 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1960800 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1960900 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961000 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961100 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961200 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961300 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961400 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961500 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961600 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961700 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961800 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1961900 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1962000 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1962100 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1962200 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1962300 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1962400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1962500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1962600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1962700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1962800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1962900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1963000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1963100 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1963200 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1963300 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1963400 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1963500 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1963600 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1963700 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1963800 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
